starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 11:11:13 2021	1638164473	45	51	96	51
Mon Nov 29 11:11:11 2021	1638164471	49	47	96	47
Mon Nov 29 11:11:11 2021	1638164471	44	53	97	51
Mon Nov 29 11:11:13 2021	1638164473	67	30	98	30
Mon Nov 29 11:11:11 2021	1638164471	51	46	98	28
Mon Nov 29 11:11:13 2021	1638164473	55	42	98	42
Mon Nov 29 11:11:13 2021	1638164473	96	2	98	2
Mon Nov 29 11:11:12 2021	1638164472	73	25	98	25
Mon Nov 29 11:11:12 2021	1638164472	63	36	98	35
Mon Nov 29 11:11:13 2021	1638164473	61	38	98	38
Mon Nov 29 11:11:10 2021	1638164470	64	34	98	33
Mon Nov 29 11:11:11 2021	1638164471	54	44	99	44
Mon Nov 29 11:11:11 2021	1638164471	51	48	99	29
Mon Nov 29 11:11:13 2021	1638164473	87	12	99	9
Mon Nov 29 11:11:13 2021	1638164473	60	40	99	39
Mon Nov 29 11:11:13 2021	1638164473	54	45	99	45
Mon Nov 29 11:11:12 2021	1638164472	57	42	99	42
Mon Nov 29 11:11:13 2021	1638164473	69	31	100	31
Mon Nov 29 11:11:13 2021	1638164473	69	31	100	26
Mon Nov 29 11:11:13 2021	1638164473	62	38	100	31
Mon Nov 29 11:11:11 2021	1638164471	92	8	100	8
Mon Nov 29 11:11:13 2021	1638164473	66	34	100	31
Mon Nov 29 11:11:11 2021	1638164471	67	33	100	31
Mon Nov 29 11:11:13 2021	1638164473	55	46	100	45
Mon Nov 29 11:11:11 2021	1638164471	51	49	100	33
Mon Nov 29 11:11:11 2021	1638164471	63	37	100	37
Mon Nov 29 11:11:11 2021	1638164471	59	42	100	40
Mon Nov 29 11:11:13 2021	1638164473	58	42	100	40
Mon Nov 29 11:11:13 2021	1638164473	79	21	100	21
Mon Nov 29 11:11:13 2021	1638164473	66	35	101	33
Mon Nov 29 11:11:12 2021	1638164472	73	28	101	25
Mon Nov 29 11:11:11 2021	1638164471	64	37	101	37
Mon Nov 29 11:11:14 2021	1638164474	64	37	101	32
Mon Nov 29 11:11:12 2021	1638164472	69	33	101	33
Mon Nov 29 11:11:11 2021	1638164471	88	13	101	13
Mon Nov 29 11:11:10 2021	1638164470	66	36	102	35
Mon Nov 29 11:11:12 2021	1638164472	61	41	102	30
Mon Nov 29 11:11:13 2021	1638164473	60	42	102	34
Mon Nov 29 11:11:11 2021	1638164471	97	6	103	6
Mon Nov 29 11:11:13 2021	1638164473	67	36	103	36
Mon Nov 29 11:11:13 2021	1638164473	57	45	103	44
Mon Nov 29 11:11:10 2021	1638164470	65	38	103	37
Mon Nov 29 11:11:13 2021	1638164473	61	42	104	42
Mon Nov 29 11:11:13 2021	1638164473	72	32	104	27
Mon Nov 29 11:11:13 2021	1638164473	58	46	104	46
Mon Nov 29 11:11:13 2021	1638164473	56	48	104	35
Mon Nov 29 11:11:12 2021	1638164472	67	37	104	36
Mon Nov 29 11:11:13 2021	1638164473	56	48	104	35
Mon Nov 29 11:11:13 2021	1638164473	60	45	104	44
Mon Nov 29 11:11:13 2021	1638164473	77	27	105	27
Mon Nov 29 11:11:12 2021	1638164472	74	31	105	28
Mon Nov 29 11:11:13 2021	1638164473	68	37	105	36
Mon Nov 29 11:11:12 2021	1638164472	61	44	105	44
Mon Nov 29 11:11:12 2021	1638164472	61	44	105	44
Mon Nov 29 11:11:10 2021	1638164470	70	35	105	32
Mon Nov 29 11:11:11 2021	1638164471	81	25	105	24
Mon Nov 29 11:11:13 2021	1638164473	66	40	106	39
Mon Nov 29 11:11:14 2021	1638164474	54	52	106	50
Mon Nov 29 11:11:10 2021	1638164470	68	37	106	36
Mon Nov 29 11:11:11 2021	1638164471	66	40	106	40
Mon Nov 29 11:11:13 2021	1638164473	73	33	106	31
Mon Nov 29 11:11:11 2021	1638164471	70	36	106	36
Mon Nov 29 11:11:13 2021	1638164473	62	44	106	44
Mon Nov 29 11:11:12 2021	1638164472	68	39	106	39
Mon Nov 29 11:11:13 2021	1638164473	70	36	107	36
Mon Nov 29 11:11:13 2021	1638164473	64	43	107	39
Mon Nov 29 11:11:11 2021	1638164471	75	33	107	26
Mon Nov 29 11:11:13 2021	1638164473	63	44	107	44
Mon Nov 29 11:11:13 2021	1638164473	68	39	107	30
Mon Nov 29 11:11:11 2021	1638164471	66	41	108	41
Mon Nov 29 11:11:12 2021	1638164472	65	43	108	41
Mon Nov 29 11:11:13 2021	1638164473	62	46	108	38
Mon Nov 29 11:11:13 2021	1638164473	63	45	108	45
Mon Nov 29 11:11:11 2021	1638164471	61	48	109	48
Mon Nov 29 11:11:11 2021	1638164471	64	44	109	44
Mon Nov 29 11:11:11 2021	1638164471	67	42	109	40
Mon Nov 29 11:11:10 2021	1638164470	71	38	109	37
Mon Nov 29 11:11:11 2021	1638164471	69	40	109	37
Mon Nov 29 11:11:12 2021	1638164472	67	44	110	36
Mon Nov 29 11:11:13 2021	1638164473	65	46	111	46
Mon Nov 29 11:11:14 2021	1638164474	64	47	111	47
Mon Nov 29 11:11:12 2021	1638164472	51	61	112	61
Mon Nov 29 11:11:10 2021	1638164470	78	35	113	33
Mon Nov 29 11:11:10 2021	1638164470	73	40	113	39
Mon Nov 29 11:11:13 2021	1638164473	56	57	113	55
Mon Nov 29 11:11:13 2021	1638164473	77	37	113	36
Mon Nov 29 11:11:11 2021	1638164471	82	31	113	24
Mon Nov 29 11:11:10 2021	1638164470	76	37	113	30
